Seq,Phase,Phase Name,ID,Module,Feature,Target Requirement,Scope Source,Priority,Status,Completion %,Depends On,Current Implementation,Next Action / Missing Work,Key Files,Evidence,Owner,Target Date,Started On,Completed On,Last Updated,Notes
1,0,Delivered baseline (maintain),DP-02,Data Platform,Daily OHLCV history,Clean daily bars for universe,Agreed-Spec,P0,COMPLETED,90,,NSE Bhavcopy + Dhan; coverage/freshness/duplicate guards,Maintain,data/bhavcopy.py; data/dhan.py,prices_daily ~234k rows / 426 sessions,,,,,2026-09-24,
2,0,Delivered baseline (maintain),DP-07,Data Platform,Delivery data,Delivery qty and %,Code-Derived,P1,COMPLETED,90,,Full Bhavcopy nightly + backfill,Maintain,data/bhavcopy.py,"223,854 rows",,,,,2026-09-24,
3,0,Delivered baseline (maintain),DP-20,Data Platform,Trading calendar,NSE holidays/special sessions,Code-Derived,P0,COMPLETED,90,,2025-26 holidays + budget sessions,Add next year's holidays each December,utils/trading_calendar.py,7132017,,,,,2026-09-24,
4,0,Delivered baseline (maintain),TA-01,Technical Analysis,Core indicators,RSI; MACD; EMA; SMA; ATR; ADX; Bollinger,Agreed-Spec,P0,COMPLETED,90,,Computed and stored; MACD fixed and normalised,Maintain,data/technical.py,a7d92a7; bbd0540,,,,,2026-09-24,
5,0,Delivered baseline (maintain),TA-02,Technical Analysis,Extended oscillators,Stoch; Williams %R; CCI; OBV; relative volume,Agreed-Spec,P1,COMPLETED,80,,Computed and stored,Maintain,data/technical.py,technical.py:47-54,,,,,2026-09-24,
6,0,Delivered baseline (maintain),TA-05,Technical Analysis,Fibonacci,Retracement levels,Agreed-Spec,P1,COMPLETED,80,,52-week 23.6/38.2/50/61.8 levels,Optional: swing-anchored levels,data/technical.py,technical.py:262-268,,,,,2026-09-24,
7,0,Delivered baseline (maintain),TA-07,Technical Analysis,Trend features,Crosses; 200DMA; gap %,Agreed-Spec,P1,COMPLETED,80,,Computed and stored,Maintain,data/technical.py,technical.py:291,,,,,2026-09-24,
8,0,Delivered baseline (maintain),TA-08,Technical Analysis,Relative strength,RS vs NIFTY,Agreed-Spec,P1,COMPLETED,80,,20-day RS with date-matched benchmark,Sector-relative RS later (TA-08b in Phase 2 if wanted),scores/engine.py,8dd04fb,,,,,2026-09-24,
9,0,Delivered baseline (maintain),SC-03,Alpha/Factor Engine,RRI,Recovery & Rebound Index per QRH,Agreed-Spec,P0,COMPLETED,75,,Implemented,Institutional input improves with SC-14,scores/engine.py,engine.py:260,,,,,2026-09-24,
10,0,Delivered baseline (maintain),SC-04,Alpha/Factor Engine,MRI,Momentum Reversal Index per QRH,Agreed-Spec,P0,COMPLETED,85,,Implemented; MACD corrected,Maintain,scores/engine.py,engine.py:241,,,,,2026-09-24,
11,0,Delivered baseline (maintain),SC-07,Alpha/Factor Engine,ZPI,Zone Probability Index per QRH,Agreed-Spec,P0,COMPLETED,80,,Implemented + delivery component,Maintain,scores/engine.py,969f570,,,,,2026-09-24,
12,0,Delivered baseline (maintain),SC-10,Alpha/Factor Engine,Portfolio Health score,PHS formula,Agreed-Spec,P1,COMPLETED,75,,Implemented,Correlation/drawdown inputs come with PF-09 and PF-13,scores/portfolio_health.py,portfolio_health.py,,,,,2026-09-24,
13,0,Delivered baseline (maintain),PF-05,Portfolio,Portfolio health,Portfolio Health score + panel,Agreed-Spec,P0,COMPLETED,75,,Implemented + dashboard,Maintain,scores/portfolio_health.py,portfolio_health.py,,,,,2026-09-24,
14,0,Delivered baseline (maintain),SC-11,Alpha/Factor Engine,Trade of the Day,TOD formula,Agreed-Spec,P1,COMPLETED,80,,Implemented; one TOD per session,Maintain,scores/engine.py,d74e595,,,,,2026-09-24,
15,0,Delivered baseline (maintain),SC-15,Alpha/Factor Engine,Overall ATIP score + rank,Master ranking,Agreed-Spec,P0,COMPLETED,80,,Implemented; rank stored,Maintain,scores/engine.py,engine.py:508,,,,,2026-09-24,
16,0,Delivered baseline (maintain),SC-17,Alpha/Factor Engine,Configurable weights,Weights in configuration,Agreed-Spec,P1,COMPLETED,80,,weight_config table,Regime-specific rows used by ML-05,db/schema.py,seed_weights,,,,,2026-09-24,
17,0,Delivered baseline (maintain),SG-02,Signal Engine,Signal validation,Data gates before signals,Code-Derived,P0,COMPLETED,75,,EOD coverage guard; FII/DII hold,Maintain,pipeline/scheduler.py,a4a508b; 969f570,,,,,2026-09-24,
18,0,Delivered baseline (maintain),SG-03,Signal Engine,Signal ranking,Top-25 lists,Agreed-Spec,P0,COMPLETED,85,,Implemented,Maintain,scores/engine.py,dashboard lists,,,,,2026-09-24,
19,0,Delivered baseline (maintain),SG-05,Signal Engine,Trade plan,Entry/stop/targets/R:R/horizon,Agreed-Spec,P0,COMPLETED,75,,Implemented,Maintain,scores/predictions.py,predictions.py,,,,,2026-09-24,
20,0,Delivered baseline (maintain),SG-06,Signal Engine,Outcome tracking,Hit rate and P&L per signal,Agreed-Spec,P0,COMPLETED,80,,Implemented; corrected denominator,Maintain,scores/signal_log.py,cc8ce46,,,,,2026-09-24,
21,0,Delivered baseline (maintain),SG-07,Signal Engine,Signal provenance log,Immutable signal log,Code-Derived,P1,COMPLETED,80,,Append-only signal_log,Maintain,scores/signal_log.py,signal_log.py,,,,,2026-09-24,
22,0,Delivered baseline (maintain),BT-01,Backtesting,Historical backtest,Bar-level backtest,Agreed-Spec,P0,COMPLETED,80,,3 bar engines,Extended by Phase 2 items,scores/backtest.py; strategy/backtest_*.py,—,,,,,2026-09-24,
23,0,Delivered baseline (maintain),BT-10,Backtesting,Win rate / profit factor / expectancy,Trade metrics,Agreed-Spec,P0,COMPLETED,90,,Implemented,Maintain,strategy/backtest_aggressive.py,metrics(),,,,,2026-09-24,
24,0,Delivered baseline (maintain),RK-02,Risk Management,Max order value,Pre-trade limit,Quant-Research,P0,COMPLETED,90,,Enforced when configured,Set values in config.json,orders/risk.py,71bff1b,,,,,2026-09-24,
25,0,Delivered baseline (maintain),RK-03,Risk Management,Max orders per day,Pre-trade limit,Quant-Research,P0,COMPLETED,90,,Enforced when configured,Set values in config.json,orders/risk.py,71bff1b,,,,,2026-09-24,
26,0,Delivered baseline (maintain),RK-04,Risk Management,Max open positions,Position limit,Quant-Research,P0,COMPLETED,90,,Enforced when configured,Set values in config.json,orders/risk.py,71bff1b,,,,,2026-09-24,
27,0,Delivered baseline (maintain),RK-05,Risk Management,Symbol exposure limit,Concentration limit,Quant-Research,P0,COMPLETED,90,,Enforced when configured,Set values in config.json,orders/risk.py,71bff1b,,,,,2026-09-24,
28,0,Delivered baseline (maintain),RK-14,Risk Management,Crash-risk gating,CRI gate,Agreed-Spec,P0,COMPLETED,75,,SELL_CRI_DANGER + strategy use,Maintain,scores/engine.py,—,,,,,2026-09-24,
29,0,Delivered baseline (maintain),EX-03,Execution,Position management,Persistent idempotent positions,Code-Derived,P0,COMPLETED,75,,reserve -> place -> apply,Maintain,strategy/positions.py,—,,,,,2026-09-24,
30,0,Delivered baseline (maintain),EX-04,Execution,Entry/exit,Automated entry and exit,Agreed-Spec,P0,COMPLETED,70,,strategy/live.py,Maintain,strategy/live.py,—,,,,,2026-09-24,
31,0,Delivered baseline (maintain),EX-05,Execution,Stop loss,Hard/ATR stops,Agreed-Spec,P0,COMPLETED,75,,Implemented,Maintain,strategy/aggressive.py,—,,,,,2026-09-24,
32,0,Delivered baseline (maintain),EX-06,Execution,Trailing stop,ATR trailing stop,Quant-Research,P0,COMPLETED,80,,Implemented (4.0x ATR),Maintain,strategy/aggressive.py,aggressive.py:57-66,,,,,2026-09-24,
33,0,Delivered baseline (maintain),EX-07,Execution,Profit booking / partial exit,Checkpoints and partial exits,Agreed-Spec,P1,COMPLETED,70,,Implemented in aggressive strategy,Maintain,strategy/aggressive.py,—,,,,,2026-09-24,
34,0,Delivered baseline (maintain),EX-13,Execution,Paper trading,Virtual trading (FR-PT),Agreed-Spec,P0,COMPLETED,85,,Paper broker with slippage,Maintain,orders/paper.py,tests/test_paper_broker.py,,,,,2026-09-24,
35,0,Delivered baseline (maintain),EX-14,Execution,Live gating,PAPER default; explicit confirm,Agreed-Spec,P0,COMPLETED,85,,Implemented,Maintain,orders/environment.py,environment.py:37-57,,,,,2026-09-24,
36,0,Delivered baseline (maintain),BR-01,Broker Integration,Dhan,Data + orders,Agreed-Spec,P0,COMPLETED,80,,dhanhq integration,Maintain,data/dhan.py; orders/broker.py,—,,,,,2026-09-24,
37,0,Delivered baseline (maintain),BR-03,Broker Integration,Broker abstraction,Routed execution clients,Quant-Research,P0,COMPLETED,75,,PAPER/SANDBOX/LIVE routing,Becomes multi-broker interface in ENT-15,orders/environment.py,—,,,,,2026-09-24,
38,0,Delivered baseline (maintain),DB-01,Dashboard,Market Health panel,Dashboard section,Agreed-Spec,P0,COMPLETED,80,,Rendered,Maintain,dashboard/server.py,—,,,,,2026-09-24,
